customerID,predicted_churn_probability,predicted_churn_label,monthly_charges,revenue_at_risk_monthly,revenue_at_risk_annual,risk_band,top_features,top_shap_values
8058-DMYRU,0.6758952208693061,1,90.05,60.864364639281014,730.3723756713722,Medium,InternetService_Fiber optic;PaymentMethod_Electronic check;MultipleLines,0.2350;0.1272;0.0853
5351-QESIO,0.5488768103599222,1,24.2,13.282818810710117,159.3938257285214,Medium,tenure;PaperlessBilling;TotalCharges,0.1847;-0.1234;0.0915
4302-ZYFEL,0.02712219204289816,0,20.55,0.5573610464815573,6.688332557778687,Low,Contract_One year;MonthlyCharges;InternetService_No,-0.1815;-0.0794;-0.0794
6134-KWTBV,0.00677453024457905,0,23.4,0.15852400772314976,1.902288092677797,Low,Contract_Two year;InternetService_No;tenure,-0.1527;-0.0546;-0.0514
2034-GDRCN,0.9047919629826225,1,90.4,81.79319345362909,981.518321443549,High,tenure;InternetService_Fiber optic;TotalCharges,0.2317;0.1876;0.0851
9544-PYPSJ,0.41810058830620284,0,96.1,40.17946653622609,482.15359843471305,Medium,tenure;InternetService_Fiber optic;tenure_group_48+,-0.1600;0.0992;-0.0811
4208-UFFGW,0.7483339675387448,1,44.95,33.63761184086658,403.651342090399,High,tenure;TotalCharges;MonthlyCharges,0.2452;0.2075;0.0529
9537-JALFH,0.0025504836486892717,0,19.9,0.050754624608916506,0.6090554953069981,Low,Contract_Two year;InternetService_No;MonthlyCharges,-0.1472;-0.0438;-0.0386
4415-IJZTP,0.929637900387052,1,74.5,69.25802357883538,831.0962829460245,High,tenure;InternetService_Fiber optic;TotalCharges,0.2515;0.2396;0.1269
4701-MLJPN,0.21499231074353925,0,55.25,11.878325168580544,142.53990202296652,Low,TechSupport;MonthlyCharges;DeviceProtection,-0.1167;-0.0318;-0.0294
7515-LODFU,0.011240740486504815,0,20.3,0.22818703187604775,2.738244382512573,Low,Contract_Two year;MonthlyCharges;InternetService_No,-0.1187;-0.0700;-0.0548
4927-WWOOZ,0.9131090540691836,1,91.45,83.50382299462684,1002.0458759355222,High,InternetService_Fiber optic;tenure;MonthlyCharges,0.2896;0.2121;0.1175
4067-HLYQI,0.6507623215507046,1,70.4,45.813667437169606,549.7640092460352,Medium,InternetService_Fiber optic;TotalCharges;gender_Male,0.2969;0.0422;0.0358
6184-DYUOB,0.32591618073193274,0,19.6,6.387957142345882,76.65548570815058,Low,InternetService_No;MonthlyCharges;tenure,-0.2755;-0.1447;0.0902
9209-NWPGU,0.15211495724575572,0,65.4,9.948318203872425,119.3798184464691,Low,Contract_One year;PaymentMethod_Electronic check;TechSupport,-0.0906;0.0338;-0.0284
9851-KIELU,0.7247823565277578,1,110.1,79.79853745370613,957.5824494444736,High,InternetService_Fiber optic;tenure;MonthlyCharges,0.3007;0.1429;0.0911
3199-XGZCY,0.8527811740265712,1,75.25,64.17178334549948,770.0614001459937,High,InternetService_Fiber optic;tenure;MonthlyCharges,0.2451;0.1676;0.0638
4226-KKDON,0.34969461285226944,0,66.65,23.307145946603764,279.68575135924516,Low,OnlineBackup;MonthlyCharges;PaymentMethod_Electronic check,-0.1308;-0.0822;-0.0484
1085-LDWAM,0.05681169473507297,0,20.35,1.156117987858735,13.87341585430482,Low,Contract_One year;InternetService_No;MonthlyCharges,-0.1957;-0.0650;-0.0516
6825-UYPFK,0.4980849646528642,0,75.6,37.65522332775653,451.86267993307837,Medium,InternetService_Fiber optic;PaperlessBilling;tenure,0.2507;-0.1363;-0.0089
1767-CJKBA,0.013928021054620841,0,25.1,0.3495933284709831,4.1951199416517975,Low,Contract_Two year;tenure;InternetService_No,-0.1430;-0.0610;-0.0554
7181-BQYBV,0.8391306676127993,1,102.45,85.96893689693131,1031.6272427631757,High,InternetService_Fiber optic;tenure;MonthlyCharges,0.2175;0.1434;0.0703
0178-CIIKR,0.2951634801109339,0,19.95,5.888511428213131,70.66213713855757,Low,InternetService_No;MonthlyCharges;tenure,-0.1916;-0.1451;0.1040
4256-ZWTZI,0.5584921091596369,1,51.0,28.48309756714148,341.79717080569776,Medium,tenure;TotalCharges;gender_Male,0.2113;0.0963;0.0516
9537-VHDTA,0.6276158677789284,1,51.2,32.133932430281135,385.6071891633736,Medium,tenure;TotalCharges;OnlineSecurity,0.2420;0.1710;-0.0784
2754-XBHTB,0.7758825267897868,1,77.65,60.24727820522694,722.9673384627233,High,InternetService_Fiber optic;tenure;TotalCharges,0.2329;0.1794;0.0834
5975-BAICR,0.17174626258279693,0,63.7,10.940236926524165,131.28284311828997,Low,OnlineSecurity;Contract_One year;StreamingMovies,-0.1225;-0.0629;0.0570
3301-VKTGC,0.16480821628995915,0,85.5,14.091102492791507,169.09322991349808,Low,tenure_group_48+;tenure;OnlineSecurity,-0.1060;-0.0954;-0.0643
2877-VDUER,0.1672722013883449,0,40.9,6.841433036783305,82.09719644139966,Low,Contract_One year;Partner;TechSupport,-0.0685;0.0274;-0.0211
7717-BICXI,0.0032799255256346555,0,20.55,0.06740246955179217,0.808829634621506,Low,Contract_Two year;InternetService_No;MonthlyCharges,-0.1541;-0.0482;-0.0362
0562-FGDCR,0.02193368397712157,0,74.55,1.635156140494413,19.621873685932957,Low,Contract_Two year;tenure;OnlineBackup,-0.0937;-0.0777;-0.0390
3705-PSNGL,0.033888224377225364,0,20.4,0.6913197772953974,8.295837327544769,Low,InternetService_No;MonthlyCharges;TotalCharges,-0.1669;-0.1625;-0.0524
0048-LUMLS,0.3534029113469069,0,91.2,32.23034551483791,386.7641461780549,Low,Contract_One year;StreamingMovies;PaperlessBilling,-0.1949;0.0856;-0.0808
6497-TILVL,0.3563934187783392,0,50.7,18.0691463320618,216.82975598474158,Low,OnlineSecurity;tenure;PaperlessBilling,-0.0548;0.0431;-0.0298
2108-YKQTY,0.5910213238814359,1,50.7,29.964781120788803,359.57737344946565,Medium,tenure;TotalCharges;PaperlessBilling,0.1869;0.1242;-0.0879
3658-KIBGF,0.7105262354145836,1,54.9,39.007890324260636,468.0946838911276,High,tenure;TotalCharges;MonthlyCharges,0.2444;0.2051;0.0378
5482-NUPNA,0.3975005730217138,0,60.4,24.00903461051151,288.10841532613813,Low,tenure;OnlineSecurity;MonthlyCharges,0.1084;-0.0884;-0.0689
7410-KTVFV,0.3970033510097393,0,49.55,19.671516042532584,236.058192510391,Low,Partner;tenure;TotalCharges,-0.0876;0.0458;0.0422
9033-EOXWV,0.2964828179991376,0,74.05,21.95455267283614,263.45463207403367,Low,PaperlessBilling;tenure;Contract_One year,-0.1225;0.0962;-0.0723
8821-XNHVZ,0.8850790012902658,1,80.05,70.85057405328578,850.2068886394294,High,InternetService_Fiber optic;tenure;TotalCharges,0.2576;0.2508;0.1450
8224-KDLKN,0.0009534914312173348,0,25.0,0.02383728578043337,0.28604742936520045,Low,Contract_Two year;InternetService_No;tenure,-0.1436;-0.0560;-0.0335
4825-FUREZ,0.012706185932747964,0,20.25,0.25730026513814624,3.087603181657755,Low,InternetService_No;MonthlyCharges;Contract_Two year,-0.1417;-0.0908;-0.0674
7534-BFESC,0.7567888998491726,1,76.1,57.591635278522034,691.0996233422644,High,InternetService_Fiber optic;PaymentMethod_Electronic check;MultipleLines,0.3465;0.1521;0.0783
9138-EFSMO,0.3249213255373224,0,78.95,25.652538651171607,307.83046381405927,Low,Contract_One year;InternetService_Fiber optic;PaperlessBilling,-0.1886;0.1119;-0.0817
4227-OJHAL,0.16236925268024419,0,73.0,11.852955445657825,142.2354653478939,Low,tenure;gender_Male;OnlineSecurity,-0.0506;-0.0491;-0.0434
7279-NMVJC,0.06884503802892283,0,19.9,1.3700162567755643,16.440195081306772,Low,InternetService_No;Contract_One year;MonthlyCharges,-0.2171;-0.1588;-0.1580
8591-TKMZH,0.24907827538726468,0,111.1,27.672596395525105,332.07115674630126,Low,InternetService_Fiber optic;MonthlyCharges;OnlineBackup,0.1118;0.1028;-0.0970
9283-LZQOH,0.726439481240067,1,74.4,54.04709740426099,648.5651688511318,High,InternetService_Fiber optic;tenure;Dependents,0.3622;0.0887;-0.0436
3594-IVHJZ,0.23675596877900948,0,20.45,4.841659561530744,58.09991473836892,Low,InternetService_No;MonthlyCharges;tenure,-0.3680;-0.2061;0.0773
1945-XISKS,0.015293591929832522,0,19.65,0.30051908142120903,3.606228977054508,Low,Contract_Two year;InternetService_No;MonthlyCharges,-0.2141;-0.0544;-0.0542
4359-INNWN,0.07204010078270653,0,20.05,1.444404020693266,17.33284824831919,Low,InternetService_No;MonthlyCharges;Contract_One year,-0.2112;-0.1549;-0.1493
7649-SIJJF,0.013164176156271667,0,80.1,1.0544505101173605,12.653406121408326,Low,Contract_Two year;tenure;TotalCharges,-0.1859;-0.0686;-0.0431
9254-RBFON,0.48392468298838603,0,98.6,47.714973742654855,572.5796849118583,Medium,InternetService_Fiber optic;tenure;MonthlyCharges,0.1559;0.1387;0.1174
0970-ETWGE,0.9156979024072553,1,89.55,82.00074716056972,984.0089659268366,High,tenure;InternetService_Fiber optic;TotalCharges,0.2185;0.2179;0.0885
7762-ONLJY,0.19095398690136287,0,19.7,3.7617935419568482,45.14152250348218,Low,InternetService_No;PaperlessBilling;gender_Male,-0.1613;-0.1420;0.1091
6710-HSJRD,0.4253451884992618,0,114.1,48.53188600776577,582.3826320931893,Medium,InternetService_Fiber optic;tenure_group_48+;TechSupport,0.1712;-0.1390;-0.1138
8873-GLDMH,0.8380268864217608,1,73.85,61.888285562247034,742.6594267469644,High,InternetService_Fiber optic;tenure;TotalCharges,0.2320;0.1969;0.0871
9907-SWKKF,0.7885359997832204,1,25.05,19.75282679456967,237.03392153483605,High,tenure;TotalCharges;SeniorCitizen,0.3252;0.2257;0.1128
4658-HCOHW,0.6781170549531303,1,102.8,69.7104332491818,836.5251989901817,Medium,InternetService_Fiber optic;MonthlyCharges;PaymentMethod_Electronic check,0.2804;0.1139;0.0678
9330-VOFSZ,0.20687207479363195,0,110.8,22.92142588713442,275.057110645613,Low,tenure;InternetService_Fiber optic;Contract_Two year,-0.1319;0.1091;-0.1074
2860-RANUS,0.7374120344357118,1,85.8,63.26995255458407,759.2394306550088,High,InternetService_Fiber optic;StreamingMovies;MonthlyCharges,0.2528;0.0737;0.0597
6234-PFPXL,0.46701205124840955,0,95.9,44.78645571472248,537.4374685766697,Medium,InternetService_Fiber optic;MonthlyCharges;TechSupport,0.1579;0.0990;-0.0731
7205-BAIAD,0.008261979033784601,0,20.6,0.17019676809596276,2.0423612171515533,Low,InternetService_No;Contract_Two year;MonthlyCharges,-0.1095;-0.0968;-0.0762
3858-VOBET,0.7347145124977054,1,74.95,55.06685271170303,660.8022325404363,High,InternetService_Fiber optic;PaymentMethod_Electronic check;MonthlyCharges,0.3421;0.1158;0.0604
5103-MHMHY,0.7071888949920228,1,45.95,32.49532972488345,389.94395669860137,High,tenure;TotalCharges;MonthlyCharges,0.2912;0.1983;0.0746
6119-SPUDB,0.09806237623086217,0,38.25,3.750885890830478,45.01063068996574,Low,Contract_Two year;OnlineSecurity;tenure,-0.0947;-0.0926;0.0378
9389-ACWBI,0.6777772493372197,1,69.95,47.41051859113852,568.9262230936622,Medium,InternetService_Fiber optic;tenure;PaperlessBilling,0.1987;0.1498;-0.0954
3454-JFUBC,0.0095385573115117,0,20.0,0.19077114623023403,2.2892537547628082,Low,Contract_Two year;MonthlyCharges;InternetService_No,-0.1547;-0.0917;-0.0551
1768-ZAIFU,0.8963285871990074,1,25.2,22.587480397414982,271.0497647689798,High,TotalCharges;tenure;MonthlyCharges,0.3212;0.3057;0.1323
7017-VFULY,0.26894332209549604,0,20.1,5.405760774119471,64.86912928943364,Low,InternetService_No;MonthlyCharges;tenure,-0.2310;-0.1741;0.0551
9221-OTIVJ,0.854090463003773,1,104.85,89.5513850459456,1074.616620551347,High,InternetService_Fiber optic;MonthlyCharges;tenure,0.3854;0.1247;0.1093
2482-CZGBB,0.7964436856718698,1,70.0,55.75105799703089,669.0126959643707,High,InternetService_Fiber optic;tenure;PaymentMethod_Electronic check,0.2372;0.1168;0.0972
7018-WBJNK,0.6677020500570349,1,78.3,52.28107051946583,627.3728462335899,Medium,InternetService_Fiber optic;tenure;TotalCharges,0.2432;0.0777;0.0340
3331-HQDTW,0.5077208590312933,1,109.8,55.747750321636,668.973003859632,Medium,InternetService_Fiber optic;OnlineSecurity;TotalCharges,0.2345;-0.1523;-0.0620
4695-VADHF,0.4845612822142696,0,57.45,27.838045663209794,334.0565479585175,Medium,PaymentMethod_Electronic check;tenure;MonthlyCharges,0.1546;0.1215;0.0819
4086-WITJG,0.011596064036937389,0,19.7,0.22844246152766653,2.7413095383319983,Low,Contract_Two year;Partner;InternetService_No,-0.1645;-0.0713;-0.0533
6297-NOOPG,0.16233738190340474,0,110.5,17.938280700326224,215.2593684039147,Low,Contract_Two year;tenure;TotalCharges,-0.2893;-0.1591;-0.1231
8777-PVYGU,0.07696818187995695,0,64.3,4.949054094881232,59.388649138574785,Low,tenure;tenure_group_48+;Contract_One year,-0.0752;-0.0426;-0.0399
4378-MYPGO,0.1443757887180761,0,105.25,15.19555176257751,182.34662115093013,Low,Contract_Two year;tenure;OnlineSecurity,-0.2434;-0.1509;-0.1065
9313-CDOGY,0.1190466529778762,0,19.6,2.3333143983663738,27.999772780396484,Low,InternetService_No;MonthlyCharges;PaperlessBilling,-0.1488;-0.1364;-0.1110
4121-AGSIN,0.057062856494451426,0,24.5,1.39803998411406,16.77647980936872,Low,Contract_One year;InternetService_No;tenure,-0.1592;-0.0683;-0.0476
0432-CAJZV,0.7767628170093889,1,90.7,70.45238750275158,845.4286500330189,High,InternetService_Fiber optic;tenure;MonthlyCharges,0.2766;0.1613;0.0592
9097-ZUBYC,0.3874348678797144,0,48.8,18.90682155253006,226.88185863036074,Low,TotalCharges;tenure;MonthlyCharges,0.0637;0.0623;0.0542
9638-JIQYA,0.7389642104728041,1,24.9,18.400208840772823,220.8025060892739,High,tenure;TotalCharges;MonthlyCharges,0.3159;0.2392;0.0906
1024-GUALD,0.7896651221186756,1,24.8,19.583695028543154,235.00434034251785,High,tenure;TotalCharges;MonthlyCharges,0.2484;0.2437;0.0999
8024-XNAFQ,0.06738472252009997,0,107.4,7.237119198658736,86.84543038390484,Low,tenure;Contract_Two year;TotalCharges,-0.2080;-0.1679;-0.1080
7587-RZNME,0.77530836659054,1,43.3,33.570852273370384,402.85022728044464,High,tenure;TotalCharges;MonthlyCharges,0.2778;0.2241;0.1208
1346-UFHAX,0.6421350658639551,1,80.0,51.3708052691164,616.4496632293968,Medium,InternetService_Fiber optic;tenure;OnlineSecurity,0.1953;0.1007;-0.0967
6374-NTQLP,0.13569174223793307,0,104.1,14.12551036696883,169.50612440362596,Low,Contract_Two year;tenure;OnlineSecurity,-0.1808;-0.1426;-0.0843
6625-FLENO,0.028564648965760022,0,20.75,0.5927164660395204,7.112597592474245,Low,Contract_Two year;MonthlyCharges;InternetService_No,-0.1519;-0.0581;-0.0515
7375-WMVMT,0.14794519535055967,0,95.5,14.128766155978449,169.5451938717414,Low,Contract_Two year;tenure;TotalCharges,-0.1591;-0.0812;-0.0712
6910-HADCM,0.8958818033307102,1,76.35,68.40057568429972,820.8069082115967,High,tenure;InternetService_Fiber optic;TotalCharges,0.3193;0.2213;0.1780
7401-JIXNM,0.03340603653845092,0,91.3,3.0499711359605697,36.599653631526834,Low,Contract_Two year;tenure;StreamingMovies,-0.1828;-0.0473;-0.0312
7338-ERIVA,0.07949535190494669,0,45.05,3.581265603317848,42.975187239814176,Low,Contract_One year;OnlineSecurity;MonthlyCharges,-0.1047;-0.0521;-0.0469
5376-DEQCP,0.9042883503266999,1,70.6,63.842757533065004,766.1130903967801,High,tenure;InternetService_Fiber optic;TotalCharges,0.2405;0.2110;0.1524
0909-SELIE,0.03106175836334871,0,80.8,2.5097900757585756,30.11748090910291,Low,Contract_Two year;tenure;TechSupport,-0.1047;-0.0489;-0.0431
5419-KLXBN,0.5940020340616418,1,89.15,52.95528133659537,635.4633760391445,Medium,InternetService_Fiber optic;TotalCharges;Dependents,0.2794;-0.0497;-0.0330
0365-TRTPY,0.40394446425062536,0,91.2,36.83973513965704,442.07682167588445,Medium,InternetService_Fiber optic;PaperlessBilling;TotalCharges,0.1459;-0.1120;-0.0778
6712-OAWRH,0.7299806560750156,1,91.25,66.61073486684518,799.3288184021421,High,InternetService_Fiber optic;MonthlyCharges;TotalCharges,0.2315;0.0674;0.0608
2428-ZMCTB,0.22461668392500936,0,19.75,4.4361795075189345,53.234154090227214,Low,InternetService_No;MonthlyCharges;tenure,-0.1646;-0.1215;0.0721
1963-VAUKV,0.46590324991124943,0,20.4,9.504426298189488,114.05311557827386,Medium,tenure;TotalCharges;MonthlyCharges,0.1795;0.1275;-0.0877
9381-NDKME,0.5459207316556856,1,40.65,22.191677741803616,266.3001329016434,Medium,MonthlyCharges;TotalCharges;SeniorCitizen,0.0965;0.0913;0.0733
3729-OWRVL,0.39175355776636733,0,110.35,43.23000509951864,518.7600611942237,Low,InternetService_Fiber optic;MonthlyCharges;SeniorCitizen,0.1147;0.1111;-0.1048
0895-LMRSF,0.32268715114870766,0,64.9,20.94239610955113,251.30875331461357,Low,StreamingMovies;tenure;Contract_One year,0.0682;0.0318;-0.0091
2676-SSLTO,0.08853641117192282,0,66.15,5.856683599022695,70.28020318827234,Low,Contract_Two year;TechSupport;TotalCharges,-0.1460;-0.0319;-0.0290
8495-PRWFH,0.4162342282465692,0,55.65,23.16343480192158,277.96121762305893,Medium,MultipleLines;SeniorCitizen;PaymentMethod_Electronic check,-0.0737;0.0600;0.0592
9030-QGZNL,0.05616342065791083,0,20.85,1.171007320717441,14.052087848609291,Low,Contract_Two year;InternetService_No;MonthlyCharges,-0.2142;-0.1053;-0.0723
9972-NKTFD,0.21132263776708105,0,54.65,11.548782153970981,138.58538584765176,Low,TechSupport;PaperlessBilling;MonthlyCharges,-0.0657;-0.0230;0.0131
7998-WNZEM,0.012845915486935353,0,80.6,1.0353807882469894,12.424569458963873,Low,Contract_Two year;tenure;TotalCharges,-0.1745;-0.0625;-0.0354
0979-PHULV,0.4544374855212462,0,99.45,45.19380793508793,542.3256952210552,Medium,tenure;MonthlyCharges;InternetService_Fiber optic,-0.1406;0.1294;0.1184
6445-TNRXS,0.10182310181914662,0,114.7,11.679109778656118,140.1493173438734,Low,Contract_Two year;TotalCharges;tenure,-0.1806;-0.1521;-0.1189
9586-JGQKH,0.14138485124214215,0,105.4,14.901963320921785,178.82355985106142,Low,Contract_Two year;tenure;OnlineBackup,-0.2236;-0.1785;-0.0982
3966-HRMZA,0.7493449983811,1,75.05,56.23834212850156,674.8601055420187,High,tenure;InternetService_Fiber optic;TotalCharges,0.2158;0.1433;0.1105
5498-IBWPI,0.09470364795082284,0,49.4,4.678360208770648,56.14032250524778,Low,tenure_group_48+;tenure;Contract_One year,-0.1206;-0.1170;-0.0513
6823-SIDFQ,0.011316545547800755,0,18.25,0.2065269562473638,2.4783234749683656,Low,InternetService_No;MonthlyCharges;Contract_One year,-0.1883;-0.1828;-0.0730
2323-ARSVR,0.14337539148886505,0,111.05,15.921837224838464,191.06204669806158,Low,Contract_Two year;OnlineBackup;tenure,-0.1739;-0.1274;-0.1204
5468-BPMMO,0.12441536008423917,0,19.6,2.438541057651088,29.26249269181306,Low,InternetService_No;MonthlyCharges;PaperlessBilling,-0.1728;-0.1278;-0.0686
0486-HECZI,0.48442524216811195,0,96.75,46.868142179764824,562.4177061571779,Medium,InternetService_Fiber optic;OnlineSecurity;PaymentMethod_Electronic check,0.1786;-0.1782;0.1393
2178-PMGCJ,0.6073154696275526,1,69.7,42.329888233040414,507.958658796485,Medium,InternetService_Fiber optic;tenure;MonthlyCharges,0.2515;0.0356;-0.0142
4660-IRIBM,0.5957299438645893,1,87.9,52.364662065697395,628.3759447883688,Medium,InternetService_Fiber optic;tenure;Partner,0.2781;0.0554;0.0447
9674-EHPPG,0.07614720106347855,0,40.4,3.0763469229645337,36.9161630755744,Low,Contract_Two year;OnlineSecurity;Partner,-0.1121;-0.0677;-0.0220
5606-AMZBO,0.7461384433640486,1,78.15,58.3107193489004,699.7286321868048,High,InternetService_Fiber optic;tenure;TotalCharges,0.3129;0.1564;0.0634
0665-XHDJU,0.23115028316151315,0,99.4,22.97633814625441,275.71605775505293,Low,Contract_Two year;tenure;tenure_group_48+,-0.2711;-0.1296;-0.0701
5402-HTOTQ,0.5070605083201584,1,55.3,28.040446110104757,336.4853533212571,Medium,tenure;PaymentMethod_Electronic check;OnlineBackup,0.1578;0.1257;-0.1222
8258-GSTJK,0.9049504674103934,1,77.0,69.6811859906003,836.1742318872036,High,InternetService_Fiber optic;tenure;MonthlyCharges,0.2828;0.1831;0.0942
3787-TRIAL,0.4820188910076695,0,26.05,12.55659211074979,150.67910532899748,Medium,PaymentMethod_Electronic check;tenure;Dependents,0.2275;0.1215;-0.1207
6175-IRFIT,0.7962660464407836,1,78.75,62.70595115721171,752.4714138865405,High,InternetService_Fiber optic;tenure;TotalCharges,0.3221;0.2219;0.0837
6317-YPKDH,0.6548596329616135,1,29.95,19.613046007200325,235.3565520864039,Medium,tenure;TotalCharges;PaperlessBilling,0.1800;0.1501;-0.0710
5692-FPTAH,0.7531570510245923,1,45.4,34.19333011651649,410.3199613981979,High,tenure;TotalCharges;MonthlyCharges,0.2795;0.2095;0.0950
5373-SFODM,0.6781829435801988,1,85.25,57.81509594021194,693.7811512825433,Medium,InternetService_Fiber optic;StreamingMovies;MonthlyCharges,0.3221;0.0797;0.0512
0868-VJRDR,0.1672844386568139,0,104.05,17.405945842241486,208.87135010689784,Low,Contract_Two year;tenure;OnlineBackup,-0.1415;-0.1133;-0.0680
4079-VTGLK,0.19579056626642607,0,74.85,14.65492388504199,175.8590866205039,Low,Contract_Two year;PaymentMethod_Electronic check;SeniorCitizen,-0.1901;0.0715;0.0200
1166-PQLGG,0.0012330062027541017,0,19.55,0.024105271263842692,0.2892632551661123,Low,Contract_Two year;InternetService_No;Partner,-0.2189;-0.0592;-0.0406
5296-BFCYD,0.007586448803730577,0,20.1,0.1524876209549846,1.8298514514598154,Low,Contract_Two year;InternetService_No;MonthlyCharges,-0.1090;-0.0835;-0.0750
6568-POCUI,0.1351507544322323,0,95.2,12.866351821948514,154.39622186338218,Low,Contract_Two year;TechSupport;TotalCharges,-0.2863;-0.0984;-0.0709
2839-RFSQE,0.2744843646017535,0,20.65,5.6681021290262095,68.01722554831451,Low,InternetService_No;MonthlyCharges;tenure,-0.2308;-0.1566;0.0963
2188-SXWVT,0.11300012092799319,0,55.0,6.215006651039626,74.5800798124755,Low,Contract_One year;OnlineSecurity;OnlineBackup,-0.1207;-0.0607;0.0379
